"s"
"Year","GDP-US $ billion nominal","Population-US million","Pensions-fed $ billion nominal","","Total Spending-state $ billion nominal","","Pensions-local $ billion nominal",""
"1792","0.223","4.173","0.00","","0.00","","0.00",""
"1793","0.249","4.300","0.00","","0.00","","0.00",""
"1794","0.312","4.432","0.00","","0.00","","0.00",""
"1795","0.38","4.567","0.00","","0.00","","0.00",""
"1796","0.413","4.707","0.00","","0.00","","0.00",""
"1797","0.405","4.850","0.00","","0.00","","0.00",""
"1798","0.409","4.998","0.00","","0.00","","0.00",""
"1799","0.437","5.151","0.00","","0.00","","0.00",""
"1800","0.476","5.308","0.00","","0.00","","0.00",""
"1801","0.509","5.476","0.00","","0.00","","0.00",""
"1802","0.446","5.648","0.00","","0.00","","0.00",""
"1803","0.482","5.826","0.00","","0.00","","0.00",""
"1804","0.527","6.010","0.00","","0.00","","0.00",""
"1805","0.556","6.199","0.00","","0.00","","0.00",""
"1806","0.611","6.395","0.00","","0.00","","0.00",""
"1807","0.583","6.596","0.00","","0.00","","0.00",""
"1808","0.64","6.804","0.00","","0.00","","0.00",""
"1809","0.68","7.019","0.00","","0.00","","0.00",""
"1810","0.699","7.240","0.00","","0.00","","0.00",""
"1811","0.76","7.450","0.00","","0.00","","0.00",""
"1812","0.779","7.666","0.00","","0.00","","0.00",""
"1813","0.96","7.889","0.00","","0.00","","0.00",""
"1814","1.068","8.118","0.00","","0.00","","0.00",""
"1815","0.916","8.354","0.00","","0.00","","0.00",""
"1816","0.811","8.596","0.00","","0.00","","0.00",""
"1817","0.761","8.846","0.00","","0.00","","0.00",""
"1818","0.73","9.102","0.00","","0.00","","0.00",""
"1819","0.72","9.367","0.00","","0.00","","0.00",""
"1820","0.703","9.638","0.00","","0.00","","0.00",""
"1821","0.728","9.921","0.00","","0.00","","0.00",""
"1822","0.798","10.212","0.00","","0.00","","0.00",""
"1823","0.752","10.511","0.00","","0.00","","0.00",""
"1824","0.747","10.819","0.00","","0.00","","0.00",""
"1825","0.814","11.136","0.00","","0.00","","0.00",""
"1826","0.858","11.462","0.00","","0.00","","0.00",""
"1827","0.907","11.798","0.00","","0.00","","0.00",""
"1828","0.888","12.144","0.00","","0.00","","0.00",""
"1829","0.921","12.500","0.00","","0.00","","0.00",""
"1830","1.012","12.866","0.00","","0.00","","0.00",""
"1831","1.042","13.235","0.00","","0.00","","0.00",""
"1832","1.118","13.614","0.00","","0.00","","0.00",""
"1833","1.147","14.005","0.00","","0.00","","0.00",""
"1834","1.207","14.406","0.00","","0.00","","0.00",""
"1835","1.327","14.819","0.00","","0.00","","0.00",""
"1836","1.465","15.244","0.00","","0.00","","0.00",""
"1837","1.539","15.682","0.00","","0.00","","0.00",""
"1838","1.582","16.131","0.00","","0.00","","0.00",""
"1839","1.645","16.594","0.00","","0.00","","0.00",""
"1840","1.559","17.070","0.00","","0.00","","0.00",""
"1841","1.636","17.601","0.00","","0.00","","0.00",""
"1842","1.602","18.149","0.00","","0.00","","0.00",""
"1843","1.553","18.714","0.00","","0.00","","0.00",""
"1844","1.686","19.296","0.00","","0.00","","0.00",""
